Wall time,Step,Value
1591522967.233446,0,0.9371562600135803
1591523002.507411,1,0.9783437252044678
1591523037.763367,2,0.983468770980835
1591523073.092867,3,0.9850937724113464
1591523108.53351,4,0.9872812628746033
1591523143.756286,5,0.9872187376022339
1591523179.026568,6,0.9890937209129333
1591523214.417357,7,0.9901875257492065
1591523249.644483,8,0.991281270980835
1591523284.887316,9,0.9909687638282776
1591523320.101374,10,0.9922187328338623
1591523355.338228,11,0.9928125143051147
1591523390.642291,12,0.9927812218666077
1591523426.090858,13,0.9931562542915344
1591523461.317563,14,0.9939687252044678
1591523496.52452,15,0.9949687719345093
1591523531.777166,16,0.9948750138282776
1591523567.030144,17,0.9955937266349792
1591523602.273001,18,0.9956562519073486
1591523637.464484,19,0.9956562519073486
1591523672.850558,20,0.99609375
1591523708.040301,21,0.9966250061988831
1591523743.423616,22,0.9969062209129333
1591523778.664278,23,0.9972187280654907
1591523813.856874,24,0.996874988079071
1591523849.038728,25,0.9971562623977661
1591523884.258259,26,0.9956874847412109
1591523919.455754,27,0.9976562261581421
1591523954.703429,28,0.9982187747955322
1591523989.976122,29,0.9981562495231628
1591524025.254026,30,0.9980624914169312
1591524060.574547,31,0.9978749752044678
1591524095.798082,32,0.9986875057220459
