Wall time,Step,Value
1591701956.790221,0,0.18503330647945404
1591702001.327723,1,0.0721396654844284
1591702045.87079,2,0.05364764854311943
1591702090.398489,3,0.034462615847587585
1591702134.843112,4,0.031015973538160324
1591702179.594825,5,0.0401601605117321
1591702223.945215,6,0.022800182923674583
1591702268.27649,7,0.019309168681502342
1591702312.697082,8,0.01963290199637413
1591702357.076412,9,0.01875188760459423
1591702401.436111,10,0.018243562430143356
1591702445.857732,11,0.013334410265088081
1591702490.435761,12,0.01290122140198946
1591702534.820449,13,0.010461704805493355
1591702579.106261,14,0.011857669800519943
1591702623.409802,15,0.011967566795647144
1591702667.725364,16,0.011143021285533905
1591702711.997468,17,0.02350929006934166
1591702756.333315,18,0.00742304464802146
1591702800.885678,19,0.009756365790963173
1591702845.187377,20,0.008257271721959114
1591702889.513605,21,0.006478064693510532
1591702933.832423,22,0.007351365871727467
1591702978.141841,23,0.011108843609690666
1591703022.59768,24,0.005336463451385498
1591703066.914845,25,0.011885704472661018
1591703111.422223,26,0.005407058168202639
1591703155.697768,27,0.008559949696063995
1591703199.948164,28,0.03932245448231697
1591703244.210046,29,0.002444535493850708
1591703288.500751,30,0.006968223489820957
1591703332.857126,31,0.004176318645477295
1591703377.148047,32,0.005264728330075741
1591703421.634358,33,0.0145945493131876
1591703465.945129,34,0.0068623824045062065
1591703510.254466,35,0.0028530647978186607
1591703554.527434,36,0.005147060379385948
1591703598.794186,37,0.015459554269909859
1591703643.166334,38,0.004712716210633516
1591703687.48111,39,0.005662534385919571
1591703731.999177,40,0.0032752894330769777
1591703776.335337,41,0.0014479572419077158
1591703820.664589,42,0.006781470030546188
1591703865.013127,43,0.015583476051688194
1591703909.345192,44,0.003054542001336813
1591703953.736204,45,0.013667826540768147
1591703998.069054,46,0.001526080654002726
1591704042.569676,47,0.0043237218633294106
1591704086.916672,48,0.0038285008631646633
1591704131.193143,49,0.006014563608914614
1591704175.478078,50,0.004552758298814297
1591704219.724296,51,0.010346838273108006
1591704264.067927,52,0.004560393746942282
1591704308.373759,53,0.003903667675331235
1591704353.077806,54,0.0037221484817564487
1591704397.308536,55,0.010185765102505684
1591704441.485213,56,0.0028324322775006294
1591704485.69857,57,0.0027217718306928873
1591704529.865069,58,0.024864964187145233
1591704574.171412,59,0.001358679379336536
