Wall time,Step,Value
1592058766.665039,0,0.9468749761581421
1592058812.29377,1,0.9796142578125
1592058857.882497,2,0.9825439453125
1592058903.362796,3,0.985278308391571
1592058948.676806,4,0.9862060546875
1592058993.978046,5,0.9878174066543579
1592059039.314187,6,0.9881347417831421
1592059084.645138,7,0.989086925983429
1592059130.254031,8,0.9903564453125
1592059175.77891,9,0.991162121295929
1592059221.138066,10,0.991284191608429
1592059266.490378,11,0.9912109375
1592059311.814912,12,0.9915527105331421
1592059356.948517,13,0.9915527105331421
1592059402.084363,14,0.992480456829071
1592059447.267608,15,0.992724597454071
1592059492.377355,16,0.9920409917831421
1592059537.468029,17,0.9930664300918579
1592059582.531151,18,0.9932616949081421
1592059627.594866,19,0.9937988519668579
1592059672.671821,20,0.9933837652206421
1592059717.764416,21,0.9940429925918579
1592059762.977075,22,0.993481457233429
1592059808.083532,23,0.9945068359375
1592059853.130878,24,0.994311511516571
1592059898.205583,25,0.9948974847793579
1592059943.276202,26,0.994580090045929
1592059988.359171,27,0.9948974847793579
1592060033.450897,28,0.995288074016571
1592060078.772314,29,0.995043933391571
1592060123.908919,30,0.995678722858429
1592060169.007275,31,0.9957519769668579
1592060214.145667,32,0.996167004108429
1592060259.245863,33,0.9955078363418579
1592060304.36658,34,0.9957519769668579
1592060349.472402,35,0.9963134527206421
1592060394.740168,36,0.9963134527206421
1592060439.837562,37,0.996508777141571
1592060484.955601,38,0.995776355266571
1592060530.084215,39,0.995922863483429
1592060575.369212,40,0.99658203125
1592060620.506935,41,0.996264636516571
1592060665.633011,42,0.996142566204071
1592060710.928818,43,0.996167004108429
1592060756.076901,44,0.996264636516571
1592060801.213736,45,0.9964599609375
1592060846.337885,46,0.9962402582168579
1592060891.484672,47,0.9974120855331421
1592060936.684997,48,0.9962158203125
1592060981.904219,49,0.9964599609375
1592061027.158777,50,0.9964843988418579
1592061072.296202,51,0.9968017339706421
1592061117.455176,52,0.9965575933456421
1592061162.604814,53,0.997314453125
1592061207.750005,54,0.996533215045929
1592061252.901723,55,0.9971923828125
1592061298.210733,56,0.9969238042831421
1592061343.358193,57,0.9971923828125
1592061388.509835,58,0.99658203125
1592061433.675891,59,0.9974120855331421
