Wall time,Step,Value
1592058766.664708,0,0.2120310515165329
1592058812.293483,1,0.09038432687520981
1592058857.882155,2,0.0783911794424057
1592058903.362468,3,0.06383280456066132
1592058948.676514,4,0.05423412844538689
1592058993.977796,5,0.04750046506524086
1592059039.313864,6,0.042363785207271576
1592059084.644865,7,0.03832674026489258
1592059130.253766,8,0.03644783794879913
1592059175.77861,9,0.03315494582056999
1592059221.13779,10,0.03851763531565666
1592059266.490045,11,0.033667489886283875
1592059311.814629,12,0.053839974105358124
1592059356.948178,13,0.033357277512550354
1592059402.084012,14,0.027567774057388306
1592059447.267275,15,0.026514580473303795
1592059492.376862,16,0.02711179479956627
1592059537.467758,17,0.02454107068479061
1592059582.530885,18,0.024361377581954002
1592059627.594594,19,0.021778859198093414
1592059672.671542,20,0.030102994292974472
1592059717.763965,21,0.021068686619400978
1592059762.976814,22,0.02243294008076191
1592059808.083178,23,0.018007848411798477
1592059853.130605,24,0.023872850462794304
1592059898.205205,25,0.018744537606835365
1592059943.275934,26,0.016449879854917526
1592059988.358912,27,0.018785638734698296
1592060033.450605,28,0.01716228388249874
1592060078.772008,29,0.01815994828939438
1592060123.908654,30,0.015547806397080421
1592060169.006997,31,0.014994907192885876
1592060214.145336,32,0.01650857739150524
1592060259.245584,33,0.016935553401708603
1592060304.366197,34,0.01648562401533127
1592060349.4721,35,0.0139393862336874
1592060394.739895,36,0.01725381799042225
1592060439.837199,37,0.013036017306149006
1592060484.955235,38,0.016229886561632156
1592060530.083948,39,0.015412189066410065
1592060575.368955,40,0.014145372435450554
1592060620.50662,41,0.025758076459169388
1592060665.632771,42,0.014357911422848701
1592060710.928528,43,0.013581199571490288
1592060756.076649,44,0.01292825024574995
1592060801.213279,45,0.015257258899509907
1592060846.337623,46,0.012138385325670242
1592060891.484368,47,0.009419216774404049
1592060936.684732,48,0.01688922941684723
1592060981.90396,49,0.011773282662034035
1592061027.158507,50,0.01357574574649334
1592061072.295906,51,0.012874847277998924
1592061117.454781,52,0.013306145556271076
1592061162.604513,53,0.01068710908293724
1592061207.749717,54,0.013702087104320526
1592061252.901414,55,0.011057591065764427
1592061298.210448,56,0.011004999279975891
1592061343.357926,57,0.010579505935311317
1592061388.509552,58,0.013518641702830791
1592061433.675624,59,0.010198953561484814
