Wall time,Step,Value
1591701956.790568,0,0.959912121295929
1591702001.328089,1,0.983959972858429
1591702045.871164,2,0.987963855266571
1591702090.398834,3,0.990966796875
1591702134.843522,4,0.9912109375
1591702179.595259,5,0.9915771484375
1591702223.945618,6,0.993701159954071
1591702268.276943,7,0.994311511516571
1591702312.697527,8,0.9951171875
1591702357.076846,9,0.994824230670929
1591702401.436472,10,0.9955810308456421
1591702445.858138,11,0.9964355230331421
1591702490.436205,12,0.9966796636581421
1591702534.820842,13,0.9971923828125
1591702579.10661,14,0.9968017339706421
1591702623.410203,15,0.996997058391571
1591702667.725709,16,0.9974365234375
1591702711.997803,17,0.9959472417831421
1591702756.333741,18,0.9982665777206421
1591702800.886071,19,0.997973620891571
1591702845.187705,20,0.9982665777206421
1591702889.513982,21,0.9983886480331421
1591702933.832767,22,0.9981689453125
1591702978.142455,23,0.9981933832168579
1591703022.598164,24,0.998852550983429
1591703066.915287,25,0.9980713129043579
1591703111.422619,26,0.9985595941543579
1591703155.698146,27,0.998217761516571
1591703199.948518,28,0.9983154535293579
1591703244.21039,29,0.9991699457168579
1591703288.501235,30,0.9984130859375
1591703332.857466,31,0.9990478754043579
1591703377.148455,32,0.9989013671875
1591703421.634705,33,0.9983886480331421
1591703465.945532,34,0.998120129108429
1591703510.254929,35,0.9994140863418579
1591703554.527743,36,0.9985595941543579
1591703598.794543,37,0.999096691608429
1591703643.166697,38,0.998852550983429
1591703687.481526,39,0.998608410358429
1591703731.999568,40,0.999096691608429
1591703776.335714,41,0.9996093511581421
1591703820.665042,42,0.9986327886581421
1591703865.013502,43,0.998217761516571
1591703909.345526,44,0.9989989995956421
1591703953.736558,45,0.998706042766571
1591703998.069513,46,0.999707043170929
1591704042.570095,47,0.998974621295929
1591704086.917108,48,0.999194324016571
1591704131.193476,49,0.998730480670929
1591704175.478452,50,0.999096691608429
1591704219.724676,51,0.9986816644668579
1591704264.068402,52,0.999584972858429
1591704308.374134,53,0.999194324016571
1591704353.078256,54,0.998950183391571
1591704397.308953,55,0.998486340045929
1591704441.485614,56,0.999267578125
1591704485.698985,57,0.999707043170929
1591704529.865438,58,0.998706042766571
1591704574.171787,59,0.999682605266571
