Wall time,Step,Value
1592465532.565713,0,0.4632514417171478
1592465597.640498,1,0.22128823399543762
1592465662.598646,2,0.12856869399547577
1592465727.414966,3,0.09279056638479233
1592465792.305043,4,0.07834203541278839
1592465857.904019,5,0.06753622740507126
1592465922.874541,6,0.06351267546415329
1592465987.751765,7,0.0538686141371727
1592466052.455785,8,0.0491914227604866
1592466117.033354,9,0.04718558117747307
1592466181.663494,10,0.04297401383519173
1592466246.548066,11,0.04211394116282463
1592466311.263377,12,0.04160710424184799
1592466375.809674,13,0.03718172758817673
1592466440.424731,14,0.03392704948782921
1592466505.091886,15,0.03201182931661606
1592466569.858476,16,0.029497850686311722
1592466634.44404,17,0.0294501893222332
1592466698.872548,18,0.02849067747592926
1592466763.395216,19,0.02552242949604988
1592466828.089648,20,0.02529153600335121
1592466892.765632,21,0.02501521445810795
1592466957.199966,22,0.027489062398672104
1592467021.588647,23,0.022522399201989174
1592467086.66816,24,0.022748712450265884
1592467151.60032,25,0.019313238561153412
1592467216.216541,26,0.02152976579964161
1592467280.398302,27,0.019501108676195145
1592467344.630599,28,0.022050460800528526
1592467408.905425,29,0.018260708078742027
1592467473.43126,30,0.018184607848525047
1592467537.762343,31,0.018794365227222443
1592467602.14771,32,0.016091426834464073
1592467666.40165,33,0.016985759139060974
1592467730.801281,34,0.016989247873425484
1592467795.344566,35,0.018485812470316887
1592467859.540391,36,0.01345004141330719
1592467923.815027,37,0.01800961047410965
1592467988.038992,38,0.01577654667198658
1592468052.226956,39,0.020100446417927742
1592468116.756323,40,0.014960305765271187
1592468180.967912,41,0.016923876479268074
1592468245.240707,42,0.014324118383228779
1592468309.542904,43,0.01330051850527525
1592468373.775901,44,0.012827539816498756
1592468438.271448,45,0.014193899929523468
1592468502.548571,46,0.01634807512164116
1592468566.854467,47,0.011226335540413857
1592468631.175775,48,0.012017562985420227
1592468695.718138,49,0.014467904344201088
1592468760.139959,50,0.013925917446613312
1592468824.324908,51,0.012547383084893227
1592468888.50491,52,0.01360706053674221
1592468952.742731,53,0.014218771830201149
1592469017.342346,54,0.01090027391910553
1592469081.576676,55,0.013701161369681358
1592469145.79987,56,0.013310748152434826
1592469210.16514,57,0.01213626004755497
1592469274.520194,58,0.009490329772233963
1592469339.072956,59,0.01383547019213438
