,ra,dec
266,213.35375,29.258511
267,213.27634,29.275974
268,213.37164,29.268145
269,213.32765,29.419345
270,213.43098,29.422553
271,213.41004,29.565003
272,213.4343,29.648883
273,213.41402,29.61023
274,213.42359,29.535508
275,213.4106,29.698069
276,213.452,29.517588
277,213.4091,29.43495
278,213.37122,29.664156
279,213.33079,29.588522
280,213.39009,29.704191
281,213.21682,28.33386
282,213.13725,28.366725
283,213.16173,28.317744
284,213.19896,28.686624
285,213.20575,28.388594
286,213.13951,28.819203
287,213.14283,28.799017
288,213.20928,28.792427
289,213.14927,28.964939
290,213.25623,29.003275
291,213.17577,28.825504
292,213.19194,28.995769
293,213.21643,28.224515
294,213.13516,28.568635
295,213.17236,29.17875
296,213.25663,29.265104
297,213.26789,29.19941
298,213.21615,29.257336
299,213.1087,29.269462
300,213.22162,29.479686
301,213.21079,29.432142
302,213.16688,29.488497
303,213.262,29.701734
304,213.2106,29.632221
305,213.15949,29.700809
306,213.1868,29.639179
307,213.00368,28.314916
308,213.09729,28.324046
309,212.98107,28.431107
310,212.98386,28.29091
311,213.10919,28.560811
312,212.95309,28.787791
313,213.03502,28.867152
314,213.09763,28.969999
315,213.09757,29.073272
316,213.01773,28.985376
317,213.05532,29.018781
318,11.143096,29.214478
319,11.243241,28.950303
320,11.28596,29.052475
321,11.166145,29.090281
322,11.301971,29.032721
323,11.28931,29.319063
324,11.198682,29.066627
325,11.353748,29.244746
326,11.16666,29.189312
327,11.281488,29.522721
328,11.223113,29.505058
329,11.368461,29.266282
330,11.338537,29.556737
331,11.252612,29.539596
332,10.96216,29.108819
333,11.105126,28.938888
334,11.099281,29.203403
335,11.090862,29.23571
336,11.072249,29.224373
337,11.0061,29.345871
338,11.048426,29.630795
339,11.060791,29.395487
340,11.138156,29.491772
341,11.057358,29.496162
342,11.035815,29.326074
343,10.77332,28.427492
344,10.685963,28.317127
345,10.695046,28.354937
346,10.836007,28.721464
347,10.815773,28.663164
348,10.741695,28.655793
349,11.136617,28.736022
350,10.728266,28.514079
351,10.949607,28.81764
352,10.929322,28.821299
353,10.764527,28.87333
354,10.595485,28.959008
355,10.814452,29.169771
356,334.73414,1.6396006
357,335.00587,1.5985392
358,335.08951,1.4091107
359,334.97118,1.4514033
360,334.82205,1.2500623
361,334.75379,1.4088859
362,334.97736,1.3989712
363,335.04397,1.3849241
364,335.03414,1.3347718
365,334.96217,1.4090914
366,334.89119,1.3398918
367,334.76177,1.2874062
368,335.00543,1.3184341
369,334.98705,1.3408297
370,335.03086,1.6933116
371,335.1089,1.6961363
372,335.07407,2.0617339
373,335.06141,1.7236795
374,335.30864,1.9505358
375,335.15696,1.7996095
376,335.30212,2.2210679
377,335.1874,2.1589669
378,335.09788,2.1586508
379,334.62366,1.4352744
380,334.65316,1.4372776
381,334.59474,1.4573448
382,334.59882,1.3590309
383,334.73172,1.4032469
384,334.60647,1.4765688
385,334.65097,1.6491261
386,334.56133,1.6318334
387,334.57027,1.4892621
388,334.54821,1.5520312
389,334.61851,1.6263812
390,335.00517,1.6990061
391,334.94449,1.7026871
392,334.86943,1.7570666
393,153.68971,10.699742
394,153.61382,10.02404
395,153.67922,10.235917
396,153.50952,10.446061
397,153.72267,10.515602
398,153.77257,10.632093
399,153.58395,10.498991
400,153.71896,10.589599
401,153.7615,10.497637
402,153.69599,10.653884
403,153.72592,10.667273
404,153.30143,10.240284
405,153.39448,10.128075
406,153.40854,10.319118
407,153.47229,10.383416
408,153.45963,10.173643
409,153.28203,10.307668
410,153.41972,10.353829
411,153.46703,10.568436
412,153.28861,10.37004
413,153.37075,10.468554
414,153.29312,10.447968
415,153.31488,10.437943
416,153.27952,10.42826
417,153.52283,10.641286
418,153.41209,10.698382
419,153.2093,9.5035924
420,153.33027,9.6947286
421,153.10324,9.4664742
422,153.25305,9.5998809
423,153.31121,9.636255
424,124.58648,24.897818
425,124.64541,24.925867
426,124.53747,25.209797
427,124.6951,25.04223
428,124.76135,25.290889
429,124.59224,25.404779
430,124.40211,25.472893
431,124.66104,25.340582
432,124.55727,25.546311
433,124.57982,25.570225
434,124.55214,25.79524
435,124.4591,25.63117
436,319.69203,0.395689
437,319.66582,0.414872
438,319.53872,0.125769
439,319.64349,0.359455
440,319.60165,0.694933
441,319.47298,0.315046
442,319.48544,0.131366
443,319.59894,0.129687
444,320.31992,0.851145
445,320.13135,1.046686
446,320.31607,0.917448
447,320.15689,0.754316
448,320.15332,1.052773
449,320.23957,1.122452
450,320.09132,1.236865
451,320.32675,1.238467
452,320.23169,1.081704
453,320.15099,1.17506
454,320.14031,0.729343
455,320.08319,1.102709
456,319.83786,0.436539
457,320.02118,0.447035
458,320.06872,0.288159
459,319.77105,0.41555
460,319.78876,0.580519
461,320.05963,0.522724
462,320.00693,0.151619
463,319.85336,0.287379
464,319.9032,0.204785
465,320.5639,1.01873
466,320.59064,0.931486
467,320.34342,1.179628
468,320.59433,1.261478
469,162.52029,23.24614
470,162.58342,23.096858
471,162.69982,23.038463
472,162.65232,23.090286
473,162.68265,23.16792
474,162.67979,23.226896
475,162.73141,23.498766
476,162.57017,23.593878
477,162.58561,23.672054
478,162.71593,23.724123
479,162.46823,23.771175
480,162.60662,24.055021
