,ra,dec
265,335.1089,1.6961363
266,335.07407,2.0617339
267,335.06141,1.7236795
268,335.30864,1.9505358
269,335.15696,1.7996095
270,335.30212,2.2210679
271,335.1874,2.1589669
272,335.09788,2.1586508
273,334.62366,1.4352744
274,334.65316,1.4372776
275,334.59474,1.4573448
276,334.59882,1.3590309
277,334.73172,1.4032469
278,334.60647,1.4765688
279,334.65097,1.6491261
280,334.56133,1.6318334
281,334.57027,1.4892621
282,334.54821,1.5520312
283,334.61851,1.6263812
284,335.00517,1.6990061
285,334.94449,1.7026871
286,334.86943,1.7570666
287,153.68971,10.699742
288,153.61382,10.02404
289,153.67922,10.235917
290,153.50952,10.446061
291,153.72267,10.515602
292,153.77257,10.632093
293,153.58395,10.498991
294,153.71896,10.589599
295,153.7615,10.497637
296,153.69599,10.653884
297,153.72592,10.667273
298,153.30143,10.240284
299,153.39448,10.128075
300,153.40854,10.319118
301,153.47229,10.383416
302,153.45963,10.173643
303,153.28203,10.307668
304,153.41972,10.353829
305,153.46703,10.568436
306,153.28861,10.37004
307,153.37075,10.468554
308,153.29312,10.447968
309,153.31488,10.437943
310,153.27952,10.42826
311,153.52283,10.641286
312,153.41209,10.698382
313,153.2093,9.5035924
314,153.33027,9.6947286
315,153.10324,9.4664742
316,153.25305,9.5998809
317,153.31121,9.636255
318,189.32851,44.215643
319,189.44115,44.194212
320,189.08621,44.318836
321,189.27207,44.576497
322,189.05396,44.308674
323,189.2933,44.293105
324,189.21186,44.301707
325,189.00969,44.407883
326,189.04554,44.546524
327,189.24916,44.588688
328,188.98498,44.570728
329,189.02206,44.557764
330,189.11821,44.677604
331,189.26149,44.741705
332,189.02203,44.823102
333,189.3137,44.853693
334,188.99619,43.869546
335,188.61105,43.517506
336,188.67498,43.527235
337,188.9011,44.144334
338,189.12717,44.17213
339,189.09362,44.123438
340,188.67606,43.500744
341,188.85367,43.916069
342,188.95018,44.191031
343,188.95492,44.167963
344,188.74512,44.271974
345,188.80105,44.412308
346,188.95975,44.34293
347,188.78635,44.375905
348,188.96127,44.486795
349,188.97831,44.532802
350,188.8591,44.726709
351,188.78011,44.591894
352,188.78609,44.827113
353,188.94707,44.569192
354,188.91818,44.837846
355,188.93067,44.519811
356,188.47339,43.452504
357,188.52622,43.522728
358,188.5733,43.587247
359,188.54576,43.509319
360,188.5095,43.628265
361,188.57314,43.907712
362,188.60419,43.665041
363,188.57795,44.116922
364,188.69086,44.091389
365,188.51346,44.025562
366,188.75158,44.087599
367,188.48596,43.782775
368,188.80577,44.192537
369,188.72353,44.237242
370,188.51018,44.410107
371,188.71335,44.418753
372,188.71805,44.380848
373,188.75037,44.495423
374,188.54513,44.44755
375,188.5675,44.360683
376,188.48341,44.44796
377,188.43859,44.370483
378,188.55655,44.858904
379,188.5286,44.520898
380,188.65053,44.896808
381,188.569,44.530012
382,188.55212,44.77604
383,188.38234,43.631932
384,188.29963,43.57021
385,188.36558,43.418545
386,188.2524,43.684512
387,188.43243,43.517959
388,188.30982,43.653529
389,188.44138,43.879617
390,188.49643,44.07108
391,124.93592,25.154275
392,124.86635,24.831724
393,124.88484,24.687112
394,124.92354,25.184035
395,124.89277,24.848244
396,124.85535,25.141346
397,124.94305,25.238615
398,124.94889,25.069577
399,124.83206,25.189016
400,124.66364,25.357678
401,124.7754,25.415316
402,124.70241,25.454571
403,124.73398,25.385046
404,124.68936,25.3865
405,124.77624,25.80838
406,124.74921,25.454629
407,124.6741,25.476541
408,124.70618,25.688316
409,124.64447,25.543378
410,124.77969,25.516807
411,124.74068,25.581096
412,124.75701,25.511054
413,124.79967,25.554775
414,124.65631,25.612326
415,124.79719,25.527452
416,124.57967,24.9271
417,124.55656,25.052201
418,124.60422,24.94608
419,124.42067,25.086601
420,124.53349,24.98532
421,124.45244,25.219162
422,124.6373,24.945861
423,124.59118,24.980377
424,169.13053,20.579433
425,169.20434,20.634204
426,169.28392,20.730983
427,169.3522,20.632045
428,169.43125,20.621816
429,169.12907,20.482992
430,169.33087,20.526692
431,169.16303,20.564999
432,169.13647,20.791593
433,169.23108,20.548727
434,169.35379,20.676356
435,169.32034,20.661757
436,169.21037,20.653665
437,169.40348,20.812061
438,169.38079,20.648222
439,169.54554,20.789
440,169.19113,20.435968
441,169.35911,20.807573
442,169.52152,20.709064
443,169.52353,20.837794
444,169.46334,21.118715
445,169.53344,21.116951
446,169.53392,20.811721
447,169.62183,21.233297
448,169.5239,20.994922
449,169.69056,21.050606
450,169.64016,21.2168
451,169.75021,21.111026
452,169.60138,21.382716
453,169.68037,21.456395
454,169.6765,21.179785
455,169.77227,21.260504
456,169.71811,21.241837
457,169.69099,21.474105
458,168.91944,20.260245
459,168.68623,20.377707
460,168.68615,20.58627
461,168.84781,20.772283
462,168.69494,20.561644
463,168.95383,20.28642
464,168.83414,20.472304
465,168.82443,20.398301
466,169.0007,20.781433
467,168.70733,20.535099
468,168.97575,20.744024
469,168.96581,20.608203
470,169.01057,20.36419
471,168.92176,20.444113
472,169.04651,20.485598
473,168.69399,20.643346
474,168.76596,20.81412
475,169.13805,20.839219
476,169.05966,20.96393
477,169.43952,20.844817
478,169.14674,20.825494
479,189.42561,53.762401
480,189.3788,53.744676
481,189.63018,54.114408
482,189.71404,53.970196
483,189.59746,53.837615
484,189.52352,53.802056
485,189.47855,53.940089
486,189.5434,53.957857
487,189.49209,53.864323
488,189.61605,53.898564
489,189.77231,53.950802
490,189.61464,54.092032
491,189.45722,53.964874
492,189.37789,54.001291
493,189.77771,54.165114
494,189.61603,54.306164
495,189.52746,54.396378
496,189.73363,54.437235
497,189.67841,54.376903
498,189.69488,54.459323
499,189.54222,54.323484
500,189.62142,54.282367
501,189.81558,54.395344
502,189.5944,54.714113
503,189.77319,54.692109
504,189.61028,54.496354
505,189.6643,54.508926
506,189.84456,54.864852
507,189.80464,54.70029
508,189.83449,54.621931
509,189.78786,54.758843
510,189.12999,53.685428
511,189.24736,53.809964
512,189.29708,53.757683
513,189.11609,53.749586
514,189.30309,54.064171
515,189.19021,53.983785
516,189.16713,53.852272
517,189.07781,53.730851
518,189.18875,54.019304
519,189.30475,53.839305
520,189.36914,54.033039
521,189.04469,54.028506
522,189.42542,54.454267
523,189.34429,54.430601
524,189.36234,54.184506
525,139.2422,61.915359
526,139.39392,61.65628
527,139.73659,61.875603
528,136.61035,62.818221
529,136.9156,62.708182
530,135.29871,63.33976
531,135.48659,63.484545
532,135.52177,63.167181
533,135.02209,62.205533
534,135.17138,61.989022
535,134.63622,62.236018
536,135.00002,62.005835
537,134.73084,62.118331
538,134.9865,62.493411
539,134.92871,62.519178
540,134.54,62.288071
541,134.75646,62.511563
542,134.82242,62.447055
543,134.76719,62.827287
544,134.66907,62.430233
545,134.60094,62.840219
546,134.64967,62.757746
547,134.78951,62.899758
548,134.83711,62.913405
549,135.02807,63.019086
550,135.05104,63.051442
551,134.79927,63.174831
552,134.99588,62.984156
553,135.16781,63.449608
554,134.88054,62.875214
555,135.18355,63.225454
556,134.84454,63.077637
557,135.15148,63.182897
558,134.86155,63.399793
559,134.87136,63.435288
560,135.11313,63.479006
561,134.38854,62.085363
562,133.94332,61.836451
563,134.5213,62.060219
564,134.33755,62.317946
565,134.38304,62.388023
566,134.22738,62.426855
567,134.49752,62.373896
568,134.25213,62.518002
569,134.43829,62.439683
570,134.34387,62.780501
571,134.47776,62.734166
572,134.30193,62.746044
573,8.1489047,29.657076
574,7.99462149999999,29.479536
575,8.04963229999998,29.495019
576,8.32621770000003,30.08136
577,8.39728209999998,29.879179
578,8.54248699999999,30.045042
579,8.43552879999999,29.936586
580,8.48468079999998,29.926128
581,8.32892149999998,29.860186
582,8.5057438,29.878952
583,8.22084430000001,29.684562
584,8.54662020000001,29.716789
585,8.3992748,29.669349
586,8.34088750000001,29.492753
587,8.47735669999997,29.615494
588,8.40756399999998,29.545764
589,8.67088619999998,30.545636
590,8.57027149999999,30.499561
591,8.54029650000001,30.321064
592,8.48006989999999,30.266821
593,8.27764630000001,30.324278
594,8.57691990000001,30.207459
595,8.66866579999999,30.21964
596,8.47118769999997,30.104162
597,8.57999419999999,30.17868
598,8.52847150000002,30.09144
599,8.7259517,30.048445
600,8.67765730000002,30.014498
601,8.74895670000001,30.021021
602,8.57114960000001,29.920798
603,8.65688940000001,30.003455
604,8.73484680000001,30.003211
605,8.6604504,29.969302
606,8.72382169999997,29.982861
607,8.71218759999999,29.948539
608,8.6582482,29.58363
609,8.6171635,29.734258
610,134.07359,64.252472
611,133.78925,64.061396
612,133.69679,64.043116
613,134.05282,63.933659
614,133.88196,63.978758
615,134.18749,63.78982
616,133.96103,63.770096
617,134.17035,63.959222
618,134.19289,63.728101
619,134.1504,63.735898
620,134.01071,63.708776
621,133.86652,63.708372
622,133.8519,63.400401
623,134.00945,63.44958
624,134.09043,63.467369
625,133.94575,63.408743
626,134.07557,63.416688
627,134.22655,64.799746
628,134.31435,64.792154
629,134.32827,64.751437
630,134.25552,64.736249
631,134.30802,64.589669
632,134.4435,64.436114
633,134.41049,64.459688
634,134.15791,64.376596
635,134.3533,64.43418
636,213.05842,29.119232
637,213.02787,29.054278
638,213.10847,29.353721
639,213.01124,29.365225
640,213.1142,29.330781
641,213.07217,29.181231
642,213.01102,29.237829
643,213.07307,29.291087
644,213.03003,29.345333
645,212.932,29.246026
646,213.04189,29.273296
647,213.00735,29.19624
648,213.0858,29.218354
649,213.1459,29.642392
650,213.07091,29.630333
651,213.15368,29.577381
652,213.04039,29.730389
653,212.86212,28.702516
654,212.8987,28.806746
655,212.82378,28.265499
656,212.77366,28.351531
657,212.90116,28.21604
658,212.88058,28.778678
659,212.73543,28.424431
660,212.92937,28.983897
661,212.92568,28.928469
662,212.78425,28.890742
663,212.61004,28.789268
664,212.49862,28.891639
665,212.54014,28.63854
666,138.0124,61.980242
667,138.44307,62.169519
668,138.33723,62.267145
669,138.19106,62.11111
670,138.21975,61.879664
671,138.18152,62.023265
672,138.41036,62.319166
673,138.07175,61.896618
674,137.98986,61.661134
675,138.1823,61.880704
676,137.96692,61.714499
677,138.41625,61.994448
678,138.49394,62.736182
679,139.10965,62.54362
680,138.61024,62.445906
681,139.04874,62.529008
682,138.7339,62.663875
683,138.48415,62.359912
684,139.36104,62.457506
685,138.97735,62.485287
686,138.55242,62.367825
687,138.81626,62.353642
688,139.25841,62.337219
689,139.29246,62.314679
690,138.55369,62.127915
691,138.54655,62.022129
692,138.82922,61.951898
693,138.75659,61.908894
694,139.00471,61.926072
695,139.05673,61.773783
696,138.58027,61.826354
697,139.09298,61.898981
698,138.81749,61.618703
699,139.41808,62.057926
700,139.2853,62.199507
701,139.42059,61.909643
702,139.62426,61.790494
703,139.28606,62.104377
704,176.61085,58.148983
705,176.65351,58.378405
706,176.69075,58.522615
707,176.51683,58.644388
708,176.49076,58.314306
709,176.78823,58.85798
710,176.63005,58.687424
711,176.50518,58.752367
712,176.8437,58.907165
713,176.52836,58.888437
714,176.5018,58.833714
715,176.23738,58.457072
716,176.40633,58.573461
717,176.28366,58.620151
718,176.44653,58.6759
719,176.15033,58.702991
720,176.23013,58.767895
721,176.04294,58.733637
722,176.04369,58.822224
723,176.45611,58.826912
724,175.84997,57.942374
725,176.04566,57.998859
726,176.60219,57.996484
727,176.41686,57.984417
728,176.03299,57.87134
729,176.54245,58.042493
730,176.63301,58.095379
731,176.65045,58.113538
732,176.15617,58.106583
733,176.32636,58.102814
734,176.22888,58.202586
735,175.71722,58.501418
736,175.62917,58.514099
737,175.60325,58.534877
738,9.37559549999997,8.8044131
739,9.3579603,8.729239
740,9.3385576,8.7517357
741,9.4515346,8.6319245
742,193.74909,21.677673
743,193.76197,21.571278
744,193.68375,21.353734
745,193.68806,21.380588
746,193.54743,21.679579
747,193.55854,21.45
748,193.64944,21.385461
749,193.60597,21.800719
750,193.7377,21.743831
751,193.55943,21.574596
752,193.57202,21.834609
753,193.52186,21.428352
754,193.50876,21.516344
755,193.37489,21.703069
756,193.47171,21.84634
757,193.38112,21.778393
758,193.42701,21.61002
759,193.42963,21.92553
760,193.39856,21.917408
761,193.4489,21.734965
762,193.38643,21.977198
763,193.35893,22.016266
764,193.17325,20.845939
765,193.47092,21.056312
766,193.11169,20.694952
767,193.14889,20.811766
768,193.26199,21.033114
769,193.18462,20.875292
770,193.40051,21.073754
771,193.49782,21.124985
772,193.24218,21.062041
773,193.44189,21.221832
774,193.42134,21.318131
775,193.29787,22.0283
776,193.21598,21.443862
777,193.29593,21.633882
778,343.21712,12.90187
779,343.33784,13.143056
780,343.33916,13.014865
781,343.32976,13.403769
782,343.28198,13.145455
783,343.17364,13.284551
784,343.35805,13.457867
785,343.13103,12.538126
786,343.03103,12.248868
787,343.11924,12.215393
788,343.17379,12.287134
789,342.96729,12.209611
790,343.1409,12.377062
791,343.10762,12.452206
792,343.0796,12.530099
793,343.06043,12.742316
794,343.10717,12.760432
795,343.19329,12.755641
796,343.22261,12.737177
797,343.03467,12.784603
798,343.0923,12.921312
799,343.11485,12.871495
800,343.01293,12.816477
801,343.07346,12.869431
802,343.01159,13.230153
803,343.02204,13.123492
804,342.99545,13.013249
805,343.04601,13.235327
806,343.14068,13.149026
807,343.08761,13.351593
808,342.87012,12.589302
809,342.95654,12.126671
810,342.94948,12.280535
811,342.81871,12.125954
812,342.827,12.301549
813,137.85123,0.15604605
814,137.59827,0.13376661
815,138.30127,1.6618665
816,138.1974,1.7458166
817,138.43848,1.7795303
818,138.29856,1.6893812
819,138.48923,1.9214027
820,138.35207,1.7500442
821,138.39783,1.7085383
822,138.01931,1.4673733
823,138.16938,1.7160604
824,138.10887,1.5288406
825,138.10953,1.7597637
826,138.13371,1.7356642
827,138.03991,1.4768916
828,138.16919,1.6414297
829,138.17905,1.9031462
830,138.15074,1.5105528
831,138.16265,1.2517024
832,138.11764,0.97223271
833,137.91335,0.79888667
834,137.94493,1.0490837
835,137.99169,0.78289454
836,138.09983,0.94283263
837,137.91646,1.1248445
838,138.08227,0.96088633
839,137.90881,0.98977728
840,137.91905,0.9122664
841,138.07999,1.2922918
842,138.28479,1.1291299
843,137.79753,1.6404992
844,137.81244,1.5649657
845,232.20322,52.06352
846,232.11398,52.275879
847,232.08424,51.955409
848,153.32969,9.7454324
849,153.18745,9.6900182
850,153.15297,9.6929495
851,153.29079,9.7046519
852,153.37629,9.8888638
853,153.26521,9.8166608
854,153.32278,9.8883784
855,153.17555,10.030358
856,153.19987,9.9546163
857,153.2655,10.19258
858,153.12367,10.080889
859,173.94705,3.8692094
860,173.89577,3.8233017
861,173.96076,3.8379341
862,173.98566,3.8907713
863,173.98415,4.0056938
864,174.01646,4.0774809
865,174.03441,4.0908556
866,173.954,4.1368112
867,173.877,4.1641529
868,173.8283,4.1887985
869,173.85293,4.3139204
870,174.02109,4.3106237
871,173.99826,4.3794798
872,173.6499,3.7840436
873,173.77955,3.7134244
874,173.78836,3.7382426
875,173.79273,3.8204351
876,173.74121,3.9840311
877,173.81058,4.0754168
878,173.82115,4.3618121
879,173.62396,4.0821273
880,173.71754,4.2155711
881,173.68978,4.3408205
882,173.71784,4.3234688
883,173.82468,4.318987
884,173.51592,3.3530114
885,173.81709,3.7355732
886,173.72638,3.4031876
887,173.50121,3.3010224
888,173.50638,3.3859958
889,173.8037,3.6045354
890,173.56959,3.409372
891,173.72937,3.6407322
892,173.6969,3.4346609
893,173.69789,3.5571091
894,173.54087,3.5782224
895,173.64272,3.5485332
896,173.57667,3.6645276
897,173.53774,3.5065115
898,173.79686,3.6929954
899,173.56632,3.7063859
900,173.48157,3.7403717
901,173.50609,3.7304946
902,173.49093,3.7732735
903,232.44574,46.494833
904,232.28322,46.497683
905,232.56235,46.623402
906,232.37056,46.676243
907,232.44977,46.67761
908,232.34762,46.603975
909,232.31795,46.545693
910,232.60032,46.615012
911,232.79902,46.818392
912,232.25841,46.757098
913,232.88763,46.924074
914,232.53644,46.839843
915,232.66665,46.668001
916,232.2357,46.998419
917,232.8207,47.294011
918,232.95615,46.987158
919,232.98244,47.214636
920,233.01289,47.007381
921,232.57086,47.147908
922,232.78925,47.05006
923,232.58401,47.401391
924,232.79959,47.480989
925,233.05,47.44193
926,233.10622,47.45025
927,233.11867,47.545954
928,232.88023,47.515331
929,232.63459,47.395923
930,231.95408,46.191085
931,231.85067,46.764658
932,231.75521,46.240449
933,232.06607,46.929747
934,232.05371,46.364145
935,231.87792,46.319846
936,231.73933,46.134302
937,231.93048,46.67614
938,231.87551,46.843283
939,232.1828,46.763191
940,231.77522,46.291413
941,231.9843,46.960281
942,231.85882,47.008301
943,232.45366,47.120343
944,232.15413,47.311552
945,146.71421,-1.0413043
946,146.74413,-0.65219064
947,146.90229,-0.98491332
948,146.62857,-0.76513683
949,146.63167,-0.98827781
950,146.91945,-0.99049175
951,146.76339,-0.81043316
952,146.62282,-0.95138526
953,146.9341,-0.67040397
954,157.15725,23.979947
955,157.38014,23.735451
956,157.20819,23.996752
957,157.24633,24.391688
958,157.18833,24.178219
959,157.33565,24.324811
960,157.16497,23.762485
961,157.18087,24.338513
962,157.23374,24.420667
963,157.36602,24.130369
964,157.22585,24.401087
965,157.14599,24.697277
966,157.11061,24.741162
967,157.16671,24.433746
968,157.23985,24.558786
969,157.07345,24.589456
970,157.13444,24.619921
971,157.19654,24.504234
972,157.13404,24.654272
973,157.20977,25.015171
974,157.11393,24.676105
975,157.14856,24.723136
976,157.06424,24.734764
977,157.22503,24.806963
978,157.1349,24.916746
979,157.13874,24.977222
980,157.17468,24.979989
981,157.2396,24.924012
982,156.95258,24.156156
983,156.99745,23.508796
984,157.13108,23.684422
985,157.00548,24.308048
986,156.96347,24.180055
987,157.07994,24.123147
988,157.14552,24.190344
989,157.08229,24.401562
990,156.97685,24.410971
991,157.051,24.102194
992,156.99406,24.377556
993,157.11766,24.106717
994,156.90932,24.479826
995,156.96913,24.494235
996,156.89179,24.490489
997,156.9278,24.568045
998,156.98535,24.57754
999,156.89901,24.580289
1000,6.7006688,13.923895
1001,6.6224798,13.92257
1002,6.8090912,14.118425
1003,6.9523328,14.269685
1004,6.7377268,14.062242
1005,6.5948863,13.78816
1006,6.9260264,14.06108
1007,6.9180902,14.221341
1008,6.7050437,14.210519
1009,6.7238479,14.183799
1010,6.9560904,14.071684
1011,6.9033246,14.208015
1012,6.9707746,14.194078
1013,6.8358572,13.930257
1014,6.6181054,14.028427
1015,6.7145291,14.245659
1016,6.8975676,14.057768
1017,6.794776,14.658459
1018,6.8551342,14.843636
1019,6.8121948,14.887551
1020,6.8734366,14.542983
1021,6.9474398,14.480442
1022,6.8091118,14.395287
1023,6.8626331,14.874429
1024,6.8171062,14.626889
1025,6.8912161,14.910912
1026,7.2052162,14.864872
1027,6.9787516,14.901057
1028,6.8515602,14.32255
1029,6.9662644,14.789411
1030,6.9298231,14.636762
1031,6.5517316,13.846159
1032,6.5462486,13.977366
1033,6.552342,13.893792
1034,6.575386,13.906421
1035,6.3535591,14.111558
1036,6.3906775,13.915097
1037,6.4953854,13.929405
1038,6.245188,14.048141
1039,6.251027,14.068646
1040,6.5737612,13.885947
1041,6.3535095,14.250403
1042,6.3403554,14.261173
1043,6.4135969,13.876154
1044,6.3710615,14.120765
1045,6.5625117,14.030299
1046,6.4855011,14.253533
1047,6.3379648,14.114222
1048,6.4444995,14.116925
1049,6.4020773,14.115291
1050,6.4696588,14.691303
1051,6.5594802,14.501037
1052,6.7361318,14.463343
1053,6.750619,14.551253
1054,65.935765,5.828054
1055,65.963364,6.018903
1056,66.097615,6.266376
1057,66.102914,6.339384
1058,66.116164,6.287535
1059,65.995214,6.421195
1060,124.58648,24.897818
1061,124.64541,24.925867
1062,124.53747,25.209797
1063,124.6951,25.04223
1064,124.76135,25.290889
1065,124.59224,25.404779
1066,124.40211,25.472893
1067,124.66104,25.340582
1068,124.55727,25.546311
1069,124.57982,25.570225
1070,124.55214,25.79524
1071,124.4591,25.63117
1072,319.69203,0.395689
1073,319.66582,0.414872
1074,319.53872,0.125769
1075,319.64349,0.359455
1076,319.60165,0.694933
1077,319.47298,0.315046
1078,319.48544,0.131366
1079,319.59894,0.129687
1080,320.31992,0.851145
1081,320.13135,1.046686
1082,320.31607,0.917448
1083,320.15689,0.754316
1084,320.15332,1.052773
1085,320.23957,1.122452
1086,320.09132,1.236865
1087,320.32675,1.238467
1088,320.23169,1.081704
1089,320.15099,1.17506
1090,320.14031,0.729343
1091,320.08319,1.102709
1092,319.83786,0.436539
1093,320.02118,0.447035
1094,320.06872,0.288159
1095,319.77105,0.41555
1096,319.78876,0.580519
1097,320.05963,0.522724
1098,320.00693,0.151619
1099,319.85336,0.287379
1100,319.9032,0.204785
1101,320.5639,1.01873
1102,320.59064,0.931486
1103,320.34342,1.179628
1104,320.59433,1.261478
1105,162.52029,23.24614
1106,162.58342,23.096858
1107,162.69982,23.038463
1108,162.65232,23.090286
1109,162.68265,23.16792
1110,162.67979,23.226896
