,flux_list,wavelength,z,ra,dec,objid,coordinate
90,"[array([ 2.341872,  0.957722, 10.019367, ..., 15.121933, 11.230163,
       12.050394], dtype=float32)]","[array([3809.7805, 3810.659 , 3811.5356, ..., 9208.736 , 9210.8545,
       9212.979 ], dtype=float32)]",0.07410323,0.232062736735429,14.0184297553388,1237652942101676166,0h00m55.6938s +14d01m06.4236s
91,"[array([ 5.454067 ,  5.338491 ,  3.0552673, ..., 31.713654 , 30.956928 ,
       26.8219   ], dtype=float32)]","[array([3794.8972, 3795.7703, 3796.6455, ..., 9193.905 , 9196.0205,
       9198.141 ], dtype=float32)]",0.0961045,0.235541685136297,0.762793786631483,1237657191979024590,0h00m56.5317s +0d45m46.0067s
92,"[array([ 7.639097 ,  5.2298136,  3.6492808, ..., 17.346325 , 16.800406 ,
       16.654362 ], dtype=float32)]","[array([3816.806 , 3817.684 , 3818.5623, ..., 9210.8545, 9212.979 ,
       9215.098 ], dtype=float32)]",0.0967738,0.239856624063918,15.2782563489551,1237652943712288948,0h00m57.5659s +15d16m41.7936s
93,"[array([1.6359608, 3.7769845, 2.207646 , ..., 6.400866 , 6.2585683,
       8.68729  ], dtype=float32)]","[array([3822.963 , 3823.8423, 3824.724 , ..., 9185.439 , 9187.558 ,
       9189.672 ], dtype=float32)]",0.09142509,0.241005716823622,14.1904168046248,1237656494576894171,0h00m57.8393s +14d11m25.494s
94,"[array([1.1179585, 5.83863  , 0.9330058, ..., 5.525436 , 3.9744608,
       4.810104 ], dtype=float32)]","[array([3800.1426, 3801.0188, 3801.8933, ..., 9196.0205, 9198.141 ,
       9200.257 ], dtype=float32)]",0.08946322,0.244303922598363,14.5446266841411,1237656495113765273,0h00m58.6345s +14d32m40.65s
95,"[array([ 1.3278849 , -0.53264487,  3.3850884 , ...,  5.4600854 ,
        5.6071525 ,  7.00721   ], dtype=float32)]","[array([3800.1426, 3801.0188, 3801.8933, ..., 9196.0205, 9198.141 ,
       9200.257 ], dtype=float32)]",0.08329216,0.256830107656299,14.8546445285181,1237652943175418115,0h01m01.6411s +14d51m16.7904s
96,"[array([15.472843, 13.327335, 15.416426, ..., 19.160265, 18.521437,
       15.951132], dtype=float32)]","[array([4694.616 , 4695.6963, 4696.7764, ..., 9191.785 , 9193.905 ,
       9196.0205], dtype=float32)]",0.08641656,0.262697736449809,1.26806432406779,1237678617417941087,0h01m03.0421s +1d16m04.9224s
97,"[array([8.978288 , 4.377983 , 6.3205576, ..., 2.3040152, 2.228877 ,
       2.6545777], dtype=float32)]","[array([3800.1426, 3801.0188, 3801.8933, ..., 9193.905 , 9196.0205,
       9198.141 ], dtype=float32)]",0.005717654,0.26498860622354,14.5801851057256,1237656495113765145,0h01m03.597s +14d34m48.6696s
98,"[array([ 5.167552,  9.316827,  2.766935, ..., 14.502712, 15.954622,
       16.393093], dtype=float32)]","[array([3796.6455, 3797.519 , 3798.3948, ..., 9191.785 , 9193.905 ,
       9196.0205], dtype=float32)]",0.08614497,0.277019808849104,1.06607083807302,1237657192515960968,0h01m06.4915s +1d03m57.6799s
99,"[array([ 6.648214,  8.555933, 10.809739, ..., 17.81803 , 19.31809 ,
       16.203236], dtype=float32)]","[array([3810.659 , 3811.5356, 3812.4126, ..., 9208.736 , 9210.8545,
       9212.979 ], dtype=float32)]",0.09334043,0.286209899844721,13.8571342853333,1237656494040023241,0h01m08.6887s +13d51m25.6896s
100,"[array([ 4.721044 ,  3.146698 ,  1.5724037, ..., 16.473488 , 17.207613 ,
       16.000444 ], dtype=float32)]","[array([3801.0188, 3801.8933, 3802.77  , ..., 9202.379 , 9204.495 ,
       9206.613 ], dtype=float32)]",0.09142111,0.287641307129093,14.5917625277116,1237656495113765179,0h01m09.0344s +14d35m30.3036s
101,"[array([8.4428425 , 3.2317147 , 0.81041884, ..., 7.9718256 , 6.3562436 ,
       8.698607  ], dtype=float32)]","[array([3796.6455, 3797.519 , 3798.3948, ..., 9189.672 , 9191.785 ,
       9193.905 ], dtype=float32)]",0.07848723,0.289227402609107,0.084482740856002,1237663784197488888,0h01m09.4392s +0d05m04.5686s
102,"[array([ 7.337864 , 18.173965 , 21.387405 , ..., 15.63924  ,  5.6099267,
       -4.4196215], dtype=float32)]","[array([ 3605.786 ,  3606.6172,  3607.447 , ..., 10384.841 , 10387.236 ,
       10389.631 ], dtype=float32)]",0.06831747,0.299376851438581,15.4785822662713,1237656496187506939,0h01m12.0002s +15d28m42.3192s
103,"[array([ 5.813752 , -2.3506815,  3.3293889, ..., 12.626551 , 11.443721 ,
       12.888595 ], dtype=float32)]","[array([3815.926 , 3816.806 , 3817.684 , ..., 9210.8545, 9212.979 ,
       9215.098 ], dtype=float32)]",0.09804911,0.30997108273715,15.1171516459579,1237656495650701418,0h01m14.3958s +15d07m01.7436s
104,"[array([0.1896132, 6.506163 , 2.1208436, ..., 7.942363 , 9.869031 ,
       6.7201505], dtype=float32)]","[array([3808.0261, 3808.9043, 3809.7805, ..., 9208.736 , 9210.8545,
       9212.979 ], dtype=float32)]",0.09483902,0.313204439264211,14.0023607068466,1237652942101676260,0h01m15.1699s +14d00m08.5968s
105,"[array([ 7.2188206,  8.363025 ,  8.400345 , ..., 10.553195 , 11.769453 ,
       11.134639 ], dtype=float32)]","[array([3800.1426, 3801.0188, 3801.8933, ..., 9200.257 , 9202.379 ,
       9204.495 ], dtype=float32)]",0.09646401,0.315077750192472,14.6666655107245,1237656495113765188,0h01m15.6187s +14d39m59.9796s
106,"[array([ 6.9659677,  8.425693 ,  5.993495 , ..., 12.226355 , 12.919644 ,
       13.001859 ], dtype=float32)]","[array([3812.4126, 3813.2917, 3814.169 , ..., 9200.257 , 9202.379 ,
       9204.495 ], dtype=float32)]",0.06562193,0.318711788598478,16.1825951367222,1237652944786096266,0h01m16.4904s +16d10m57.3924s
107,"[array([195.36946 , 183.60057 , 169.62085 , ..., 106.95181 , 110.176445,
       103.174706], dtype=float32)]","[array([3797.519 , 3798.3948, 3799.2686, ..., 9191.785 , 9193.905 ,
       9196.0205], dtype=float32)]",-6.939461e-06,0.346660961124599,0.984496301118586,1237663278464761924,0h01m23.2174s +0d59m04.596s
108,"[array([10.36736 , 12.023801, 13.679271, ..., 16.0486  , 16.30255 ,
       14.994813], dtype=float32)]","[array([3793.15  , 3794.0225, 3794.8972, ..., 9193.905 , 9196.0205,
       9198.141 ], dtype=float32)]",0.08204923,0.351401181449091,0.730392092670839,1237657191979090109,0h01m24.3249s +0d43m49.3377s
109,"[array([ 5.571721 ,  7.3900175, 10.327774 , ...,  6.564045 ,  6.559465 ,
        7.3319154], dtype=float32)]","[array([3809.7805, 3810.659 , 3811.5356, ..., 9208.736 , 9210.8545,
       9212.979 ], dtype=float32)]",0.07456326,0.358171924971089,13.8075934872389,1237656494040088807,0h01m25.9593s +13d48m27.342s
