Wall time,Step,Value
1592909907.920995,0,1.5186280012130737
1592909913.306878,1,1.1114063262939453
1592909918.689248,2,0.9718865752220154
1592909924.100099,3,0.8983876705169678
1592909929.510102,4,0.8882763385772705
1592909934.886005,5,0.8406524658203125
1592909940.185187,6,0.8119180202484131
1592909945.497334,7,0.7982492446899414
1592909950.804388,8,0.7764604091644287
1592909956.148526,9,0.7636820673942566
1592909961.405633,10,0.7695290446281433
1592909966.664552,11,0.7320740818977356
1592909971.925615,12,0.7102622985839844
1592909977.193618,13,0.7246700525283813
1592909982.463856,14,0.731077253818512
1592909987.722396,15,0.6983944773674011
1592909992.990972,16,0.7119696140289307
1592909998.261702,17,0.681544303894043
1592910003.509913,18,0.6536957621574402
1592910008.760975,19,0.6640215516090393
1592910014.009489,20,0.6689352989196777
1592910019.349739,21,0.6385696530342102
1592910024.627565,22,0.6247603297233582
1592910029.886102,23,0.6061933636665344
1592910035.210792,24,0.6005740165710449
1592910040.457243,25,0.576427161693573
1592910045.717043,26,0.6427080035209656
1592910050.978882,27,0.5849870443344116
1592910056.231414,28,0.5761203169822693
1592910061.510637,29,0.5517895817756653
1592910066.801792,30,0.5518412590026855
1592910072.10013,31,0.5171175599098206
1592910077.405521,32,0.5068547129631042
1592910082.681897,33,0.5046021342277527
1592910087.953465,34,0.489683598279953
1592910093.222506,35,0.4974301755428314
1592910098.484032,36,0.4914720356464386
1592910103.752292,37,0.5455163717269897
1592910109.011188,38,0.47814321517944336
1592910114.256861,39,0.4753726124763489
1592910119.571032,40,0.4765894412994385
1592910124.812118,41,0.4570114016532898
1592910130.054381,42,0.4436151385307312
1592910135.285073,43,0.43817731738090515
1592910140.548604,44,0.4287613332271576
1592910145.922714,45,0.41723692417144775
1592910151.275244,46,0.4204217493534088
1592910156.527705,47,0.43624934554100037
1592910161.766466,48,0.40594908595085144
1592910167.011917,49,0.4054962992668152
1592910172.28339,50,0.41107186675071716
1592910177.545857,51,0.38558006286621094
1592910182.814354,52,0.3968588709831238
1592910188.112597,53,0.37256190180778503
1592910193.377333,54,0.3970431983470917
1592910198.714463,55,0.40445786714553833
1592910204.004365,56,0.3741702139377594
1592910209.277084,57,0.3797910511493683
1592910214.556725,58,0.3699685037136078
1592910219.843134,59,0.3545132875442505
