Wall time,Step,Value
1592909907.921376,0,0.4808734357357025
1592909913.307236,1,0.6071087121963501
1592909918.689554,2,0.6523748636245728
1592909924.100466,3,0.6772394180297852
1592909929.510446,4,0.669429361820221
1592909934.886385,5,0.6898310780525208
1592909940.185548,6,0.7049729228019714
1592909945.497695,7,0.7102327346801758
1592909950.804712,8,0.7100732922554016
1592909956.14887,9,0.7146955728530884
1592909961.405931,10,0.7102327346801758
1592909966.664836,11,0.7258527278900146
1592909971.925929,12,0.727287232875824
1592909977.193923,13,0.7284029126167297
1592909982.464191,14,0.7323876023292542
1592909987.722714,15,0.7360535264015198
1592909992.991343,16,0.7325470447540283
1592909998.262027,17,0.7366911172866821
1592910003.510239,18,0.7462543845176697
1592910008.761389,19,0.748485803604126
1592910014.009818,20,0.7462543845176697
1592910019.35002,21,0.7534268498420715
1592910024.627846,22,0.7671341896057129
1592910029.886505,23,0.7639464735984802
1592910035.211085,24,0.7644246220588684
1592910040.457602,25,0.7797258496284485
1592910045.717424,26,0.7507172226905823
1592910050.979213,27,0.777016282081604
1592910056.231706,28,0.7720752358436584
1592910061.510926,29,0.7900860905647278
1592910066.802089,30,0.7878546118736267
1592910072.10055,31,0.802040159702301
1592910077.405827,32,0.8045903444290161
1592910082.682266,33,0.8063436150550842
1592910087.953763,34,0.8093720078468323
1592910093.22294,35,0.8092126250267029
1592910098.484426,36,0.8149505853652954
1592910103.752689,37,0.8052279353141785
1592910109.01154,38,0.8205291628837585
1592910114.257134,39,0.8214855194091797
1592910119.571367,40,0.8182977437973022
1592910124.812472,41,0.8257889747619629
1592910130.054686,42,0.8235575556755066
1592910135.285446,43,0.8391775488853455
1592910140.548914,44,0.8328020572662354
1592910145.923017,45,0.8417277932167053
1592910151.275573,46,0.8514504432678223
1592910156.527962,47,0.8371055126190186
1592910161.76678,48,0.8457124829292297
1592910167.012232,49,0.8476251363754272
1592910172.283736,50,0.8460312485694885
1592910177.546212,51,0.8544787764549255
1592910182.814663,52,0.853044331073761
1592910188.112907,53,0.869142472743988
1592910193.377667,54,0.8598979711532593
1592910198.714778,55,0.8544787764549255
1592910204.00466,56,0.8592604398727417
1592910209.277447,57,0.8646796345710754
1592910214.556988,58,0.8680267930030823
1592910219.843525,59,0.8712145090103149
